faultNumber,simulationRun,sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7
1,1.0,43,0.65291,3683.2,4546.2,9.0888,26.79,42.475,2794.1
1,1.0,44,0.65495,3691.6,4531.5,8.9665,26.948,42.744,2798.8
1,1.0,45,0.64342,3625.3,4538.9,8.8676,26.885,42.501,2799.9
1,1.0,46,0.64029,3651.6,4562.8,8.8967,26.839,42.164,2800.0
1,1.0,47,0.69859,3643.7,4506.5,8.8953,27.055,42.284,2801.8
1,1.0,48,0.69698,3632.9,4560.1,8.9281,26.821,42.313,2803.3
1,1.0,49,0.70275,3659.0,4512.6,8.8646,27.132,42.142,2806.7
1,1.0,50,0.70478,3682.0,4521.7,8.9201,27.062,42.055,2806.5
1,1.0,51,0.78656,3619.0,4491.4,8.8673,27.013,42.314,2808.5
1,1.0,52,0.78278,3631.8,4509.4,8.7276,26.676,42.418,2812.1
1,1.0,53,0.78198,3698.4,4447.7,8.6132,27.196,42.246,2810.5
1,1.0,54,0.78303,3697.9,4479.2,8.6717,27.122,42.088,2808.3
1,1.0,55,0.83705,3671.8,4524.8,8.7531,26.73,42.458,2806.9
1,1.0,56,0.83257,3716.4,4510.3,8.6811,27.058,42.252,2804.9
1,1.0,57,0.80272,3685.6,4569.3,8.5885,26.656,42.329,2801.4
1,1.0,58,0.80468,3682.2,4566.7,8.5828,26.874,42.422,2801.6
1,1.0,59,0.84246,3597.5,4516.7,8.4151,26.693,42.127,2799.4
1,1.0,60,0.8437,3628.9,4534.6,8.4858,27.113,42.264,2796.1
1,1.0,61,0.87669,3563.6,4525.4,8.5276,26.957,42.083,2793.8
1,1.0,62,0.87655,3586.6,4501.9,8.3702,27.079,42.278,2787.4
1,1.0,63,0.88762,3629.6,4516.8,8.4147,27.098,41.846,2785.8
1,1.0,64,0.88726,3607.6,4490.3,8.5051,26.969,42.307,2783.1
1,1.0,65,0.91613,3696.8,4570.1,8.3983,26.948,42.562,2784.6
1,1.0,66,0.91764,3699.6,4600.2,8.3459,26.877,42.182,2783.0
1,1.0,67,0.93448,3665.9,4494.2,8.2456,26.64,42.204,2775.3
1,1.0,68,0.93498,3720.6,4495.7,8.2988,26.994,42.16,2764.1
1,1.0,69,0.97485,3691.8,4505.7,8.201,26.387,42.139,2759.0
1,1.0,70,0.97465,3707.0,4478.6,8.3211,26.866,42.252,2750.6
1,1.0,71,0.93334,3685.8,4504.0,8.251,26.796,42.292,2746.0
1,1.0,72,0.93359,3688.3,4494.6,8.2338,27.109,42.094,2740.6
1,1.0,73,0.94476,3636.5,4493.4,8.2076,26.689,42.194,2734.2
1,1.0,74,0.94472,3630.0,4494.1,8.1583,26.886,41.934,2730.2
1,1.0,75,0.94846,3653.3,4454.1,8.1183,26.559,42.235,2722.2
1,1.0,76,0.95068,3675.0,4443.1,8.2663,27.247,41.933,2715.2
1,1.0,77,0.9768,3620.1,4432.8,8.2895,27.218,42.491,2706.8
1,1.0,78,0.97715,3619.9,4377.1,8.167,26.691,41.951,2705.1
1,1.0,79,0.99762,3599.1,4407.3,8.207,26.703,42.15,2699.7
1,1.0,80,0.99715,3632.4,4442.2,8.2106,26.955,41.977,2697.8
1,1.0,81,1.0052,3656.8,4364.4,8.0971,26.973,42.08,2693.0
1,1.0,82,1.0048,3676.6,4383.6,8.2239,27.267,42.441,2686.5
1,1.0,83,0.92575,3666.8,4356.9,8.2511,26.901,41.932,2682.4
1,1.0,84,0.92614,3600.5,4391.8,8.1523,26.991,42.012,2678.3
1,1.0,85,0.97097,3654.2,4383.2,8.182,26.756,42.336,2671.4
1,1.0,86,0.97178,3635.2,4341.7,8.2291,27.138,42.012,2668.1
1,1.0,87,0.89352,3604.5,4319.3,8.2732,26.794,41.688,2661.8
1,1.0,88,0.89517,3566.5,4290.4,8.313,27.124,42.132,2656.8
1,1.0,89,0.95597,3582.3,4322.1,8.3215,26.683,42.092,2656.0
1,1.0,90,0.95845,3576.7,4293.6,8.4243,27.086,42.102,2655.1
1,1.0,91,0.8798,3588.3,4338.6,8.4439,26.913,42.532,2652.4
1,1.0,92,0.88002,3614.1,4271.3,8.6234,26.891,42.208,2654.8
1,1.0,93,0.90837,3549.3,4331.3,8.5644,26.751,42.167,2652.5
1,1.0,94,0.90887,3557.9,4332.8,8.5889,26.948,42.038,2653.2
1,1.0,95,0.95664,3605.4,4267.5,8.6442,26.595,42.648,2654.5
1,1.0,96,0.96007,3614.6,4271.7,8.6542,27.199,42.154,2656.3
1,1.0,97,0.89714,3618.5,4283.6,8.652,26.91,42.417,2653.8
1,1.0,98,0.89735,3598.2,4307.8,8.7766,26.718,42.32,2652.7
1,1.0,99,0.90617,3613.2,4263.0,8.8606,27.162,42.45,2654.7
1,1.0,100,0.9058,3651.8,4267.1,8.7179,26.99,42.209,2655.9
1,1.0,101,0.86892,3646.8,4249.3,8.7881,26.588,42.19,2659.9
1,1.0,102,0.86988,3619.3,4326.7,8.907,27.026,42.612,2660.6
1,1.0,103,0.8586,3625.3,4220.7,9.0816,26.959,42.512,2662.3
1,1.0,104,0.85725,3615.1,4290.2,9.027,26.863,42.753,2667.1
1,1.0,105,0.84079,3614.2,4302.6,9.0654,27.064,42.444,2667.5
1,1.0,106,0.84169,3621.4,4296.3,9.0169,26.773,42.173,2672.1
1,1.0,107,0.85723,3617.4,4296.0,9.1605,27.387,42.275,2676.4
1,1.0,108,0.85739,3645.1,4304.8,8.9729,27.458,42.768,2683.5
1,1.0,109,0.81039,3629.6,4375.5,9.0941,27.051,42.847,2692.0
1,1.0,110,0.80998,3615.7,4325.9,9.1843,26.971,42.431,2695.7
1,1.0,111,0.8013,3665.7,4401.4,9.2702,26.794,42.889,2701.2
1,1.0,112,0.80155,3658.3,4336.0,9.2428,27.031,42.355,2705.5
1,1.0,113,0.76192,3637.0,4366.0,9.3262,26.976,42.689,2711.8
1,1.0,114,0.76055,3659.2,4322.7,9.2889,27.094,42.681,2712.7
1,1.0,115,0.80124,3651.6,4414.9,9.2299,26.957,42.672,2718.1
1,1.0,116,0.79846,3631.5,4397.1,9.3229,27.029,42.369,2724.9
1,1.0,117,0.75671,3684.5,4494.3,9.2674,26.937,42.562,2733.4
1,1.0,118,0.75838,3663.5,4476.8,9.3447,26.998,42.529,2738.2
1,1.0,119,0.70267,3707.2,4461.0,9.3656,26.892,42.582,2744.0
1,1.0,120,0.70666,3708.8,4487.3,9.2894,26.873,42.591,2748.7
1,1.0,121,0.65008,3681.3,4534.3,9.3347,27.021,42.4,2747.0
1,1.0,122,0.65475,3685.4,4541.2,9.3343,26.894,42.508,2752.0
1,1.0,123,0.71508,3676.0,4550.6,9.3327,26.985,42.613,2758.6
1,1.0,124,0.71561,3656.0,4583.7,9.287,27.012,42.363,2763.8
1,1.0,125,0.70911,3734.9,4549.3,9.3355,26.64,42.668,2767.9
1,1.0,126,0.71089,3719.5,4531.0,9.1664,27.093,42.359,2772.9
1,1.0,127,0.66221,3670.3,4601.8,9.2011,26.932,42.696,2777.7
1,1.0,128,0.65928,3662.8,4609.7,9.1171,26.779,42.514,2779.3
1,1.0,129,0.60512,3708.6,4633.1,9.1121,26.571,42.404,2776.8
1,1.0,130,0.60573,3693.9,4613.1,9.1035,27.427,42.244,2777.8
1,1.0,131,0.59673,3640.3,4574.9,9.2144,26.883,42.021,2782.3
1,1.0,132,0.59438,3658.4,4636.0,9.16,26.834,42.525,2783.0
1,1.0,133,0.59174,3768.0,4647.6,8.9186,26.94,42.459,2785.5
1,1.0,134,0.59159,3710.3,4629.7,8.9892,27.19,42.356,2784.0
1,1.0,135,0.58587,3704.3,4641.1,8.9249,26.804,42.664,2781.7
1,1.0,136,0.58355,3677.7,4626.6,9.0732,27.027,42.353,2779.9
1,1.0,137,0.61093,3748.7,4666.4,8.9365,26.985,42.252,2778.2
1,1.0,138,0.60748,3774.8,4678.4,8.8648,26.551,42.206,2776.2
1,1.0,139,0.63324,3639.2,4651.4,8.843,26.99,42.405,2772.7
1,1.0,140,0.63255,3669.3,4699.2,8.7833,26.915,42.042,2772.3
1,1.0,141,0.66524,3671.6,4675.6,8.8373,26.585,42.094,2773.1
1,1.0,142,0.66317,3678.7,4697.4,8.7602,27.22,42.336,2770.6
1,1.0,143,0.68303,3711.0,4705.7,8.5827,27.221,42.338,2766.0
1,1.0,144,0.68698,3670.3,4751.9,8.7867,26.822,42.122,2763.3
1,1.0,145,0.67236,3702.2,4641.2,8.6832,26.714,42.003,2760.2
1,1.0,146,0.67704,3670.8,4620.2,8.5885,26.341,42.212,2758.1
1,1.0,147,0.67892,3726.6,4660.8,8.5429,27.069,41.898,2754.5
1,1.0,148,0.67919,3680.9,4661.2,8.5405,27.004,42.216,2749.9
1,1.0,149,0.70472,3672.4,4711.5,8.4121,26.853,41.722,2744.1
1,1.0,150,0.70594,3677.1,4626.0,8.5718,27.193,42.407,2741.1
1,1.0,151,0.72185,3661.2,4609.1,8.486,26.658,42.011,2734.9
1,1.0,152,0.72203,3655.1,4669.6,8.4969,26.849,42.528,2731.5
1,1.0,153,0.6866,3676.1,4583.4,8.3647,26.946,42.296,2726.2
1,1.0,154,0.68801,3701.9,4573.0,8.4015,26.722,41.466,2720.9
1,1.0,155,0.72885,3658.1,4567.6,8.4274,26.765,42.021,2713.9
1,1.0,156,0.73176,3649.5,4612.6,8.349,27.168,41.958,2707.3
1,1.0,157,0.79777,3670.3,4615.2,8.4074,26.772,41.572,2704.1
1,1.0,158,0.79927,3664.4,4591.8,8.3565,26.779,41.838,2700.8
1,1.0,159,0.80042,3640.1,4560.1,8.4316,27.055,41.788,2697.1
1,1.0,160,0.80102,3646.0,4590.8,8.3301,26.779,41.908,2692.2
1,1.0,161,0.77446,3738.9,4476.7,8.3138,26.805,41.638,2686.6
1,1.0,162,0.7733,3758.8,4495.0,8.4047,26.845,41.83,2679.2
1,1.0,163,0.89925,3645.4,4444.1,8.2239,26.946,42.081,2676.4
1,1.0,164,0.89595,3690.1,4418.1,8.1937,26.74,41.899,2673.2
1,1.0,165,0.83246,3675.3,4432.2,8.2658,26.925,42.125,2667.4
1,1.0,166,0.8349,3658.0,4429.3,8.3543,27.07,41.64,2665.4
1,1.0,167,0.84692,3637.0,4426.4,8.3928,26.636,42.111,2661.0
1,1.0,168,0.84578,3638.2,4494.2,8.3739,27.07,41.78,2658.9
1,1.0,169,0.84873,3628.6,4445.9,8.3439,26.847,42.017,2656.0
1,1.0,170,0.85164,3603.3,4472.2,8.3915,26.971,41.996,2652.8
1,1.0,171,0.89756,3617.5,4363.5,8.3765,26.807,42.221,2652.7
1,1.0,172,0.89602,3622.6,4387.6,8.4838,27.032,42.321,2651.1
1,1.0,173,0.89884,3607.7,4422.6,8.5228,27.101,41.655,2652.4
1,1.0,174,0.89809,3551.7,4370.0,8.438,26.954,42.303,2650.8
1,1.0,175,0.91393,3652.3,4425.3,8.544,26.928,42.066,2649.0
1,1.0,176,0.91469,3690.9,4363.7,8.5686,27.143,42.364,2649.7
1,1.0,177,0.89626,3557.1,4358.2,8.5135,26.953,41.96,2648.9
1,1.0,178,0.89693,3568.7,4379.6,8.5511,26.766,41.789,2649.3
1,1.0,179,0.93841,3650.3,4256.3,8.6204,26.984,42.343,2647.8
1,1.0,180,0.93823,3645.9,4245.7,8.7008,26.913,42.575,2648.4
1,1.0,181,0.91936,3624.8,4281.1,8.698,26.927,42.729,2651.9
1,1.0,182,0.92154,3643.9,4346.6,8.7415,27.257,42.486,2651.4
1,1.0,183,0.9331,3628.4,4300.6,8.833,26.873,42.073,2654.1
1,1.0,184,0.93478,3640.9,4295.8,8.8853,26.866,41.899,2656.1
1,1.0,185,0.89215,3642.1,4335.7,8.8022,26.208,42.123,2658.9
1,1.0,186,0.89155,3615.5,4294.2,8.8249,27.02,42.797,2660.2
1,1.0,187,0.84654,3623.1,4304.0,8.8592,26.487,42.263,2660.6
1,1.0,188,0.84478,3620.1,4311.6,8.9434,26.549,42.39,2662.3
1,1.0,189,0.79804,3635.1,4392.6,8.8528,26.541,42.314,2664.9
1,1.0,190,0.79706,3653.5,4418.5,8.9373,26.926,42.246,2667.5
1,1.0,191,0.83953,3679.4,4334.1,9.1443,26.612,42.382,2668.2
1,1.0,192,0.83474,3690.4,4348.6,9.1861,26.336,42.512,2672.0
1,1.0,193,0.83756,3684.8,4383.2,8.9765,27.083,42.53,2674.5
1,1.0,194,0.8364,3695.4,4346.8,8.9061,27.084,42.892,2680.8
1,1.0,195,0.78364,3705.9,4350.4,9.142,27.509,43.149,2682.3
1,1.0,196,0.78492,3700.7,4381.8,9.1573,27.12,42.686,2683.1
1,1.0,197,0.81169,3638.8,4425.0,9.0084,26.821,42.611,2686.5
1,1.0,198,0.81058,3599.6,4428.1,9.1447,27.005,42.269,2688.4
1,1.0,199,0.75075,3597.6,4454.7,9.1155,26.92,42.675,2692.6
1,1.0,200,0.74906,3628.8,4445.8,9.082,27.336,42.6,2696.2
1,1.0,201,0.72656,3670.7,4426.9,9.1528,26.856,42.27,2705.1
1,1.0,202,0.72784,3621.7,4420.2,9.1964,26.865,43.022,2711.4
1,1.0,203,0.7385,3640.0,4432.9,9.1321,26.86,42.863,2714.7
1,1.0,204,0.74032,3683.3,4424.0,9.1206,26.969,42.519,2712.8
1,1.0,205,0.70334,3669.6,4473.3,9.2033,26.828,42.396,2712.6
1,1.0,206,0.70105,3690.5,4546.4,9.0527,27.239,42.887,2717.6
1,1.0,207,0.71569,3687.1,4477.1,9.1295,26.48,42.527,2723.8
1,1.0,208,0.7156,3647.5,4462.0,9.1812,26.765,42.315,2725.7
1,1.0,209,0.66576,3710.7,4517.1,9.1905,27.188,42.525,2727.9
1,1.0,210,0.66597,3700.3,4507.7,9.0881,26.955,42.662,2729.4
1,1.0,211,0.63136,3685.4,4507.7,9.122,26.956,42.411,2727.8
1,1.0,212,0.62987,3715.2,4500.5,9.0882,26.932,42.475,2727.7
1,1.0,213,0.6904,3718.5,4480.7,9.0394,26.741,42.122,2732.1
1,1.0,214,0.69117,3717.9,4489.9,9.0846,26.911,42.552,2736.8
1,1.0,215,0.6651,3645.5,4544.4,8.9944,26.878,42.586,2735.0
1,1.0,216,0.66532,3694.6,4573.1,9.0327,27.124,42.688,2740.5
1,1.0,217,0.67237,3675.5,4536.3,9.1128,26.758,42.454,2741.3
1,1.0,218,0.67184,3679.8,4505.4,8.8483,26.868,42.31,2739.1
1,1.0,219,0.63961,3674.0,4639.7,8.988,26.906,42.063,2740.2
1,1.0,220,0.6414,3651.9,4618.4,9.0374,27.254,42.047,2739.8
1,1.0,221,0.66092,3698.2,4582.9,8.9571,26.96,42.633,2737.2
1,1.0,222,0.66243,3690.2,4596.4,8.9628,27.199,42.055,2739.7
1,1.0,223,0.60158,3713.6,4593.3,8.8703,26.717,42.14,2740.4
1,1.0,224,0.60175,3687.2,4641.8,8.7722,26.62,42.136,2738.1
1,1.0,225,0.66814,3698.7,4586.0,8.8437,26.455,42.395,2735.3
1,1.0,226,0.6697,3675.5,4553.7,8.9246,26.7,41.884,2735.9
1,1.0,227,0.6809,3662.9,4573.0,8.7952,27.391,42.422,2736.7
1,1.0,228,0.67983,3651.9,4602.8,8.9068,26.716,42.273,2737.2
1,1.0,229,0.66911,3642.4,4595.3,8.7532,26.574,42.471,2735.5
1,1.0,230,0.66865,3655.3,4591.3,8.6716,26.684,42.181,2734.8
1,1.0,231,0.68654,3665.3,4559.6,8.6653,27.122,42.044,2732.3
1,1.0,232,0.68672,3680.8,4572.6,8.6773,26.819,42.006,2730.2
1,1.0,233,0.68719,3658.6,4618.5,8.7606,26.643,42.222,2727.7
1,1.0,234,0.68987,3644.5,4588.1,8.7375,26.854,42.248,2726.8
1,1.0,235,0.69218,3678.6,4557.4,8.516,26.743,41.933,2725.2
1,1.0,236,0.69286,3662.3,4543.1,8.6399,26.912,42.023,2722.0
1,1.0,237,0.70392,3693.2,4532.8,8.5296,26.976,42.059,2721.6
1,1.0,238,0.70651,3668.9,4537.9,8.5731,26.733,42.024,2719.5
1,1.0,239,0.68464,3690.9,4537.5,8.4891,26.629,42.346,2712.5
1,1.0,240,0.68691,3706.1,4520.9,8.5155,27.11,41.907,2705.9
1,1.0,241,0.7233,3592.3,4478.2,8.5324,26.998,42.188,2706.1
1,1.0,242,0.72223,3584.1,4532.9,8.5551,26.855,42.181,2706.5
1,1.0,243,0.73756,3628.1,4520.1,8.4518,27.033,42.298,2703.7
1,1.0,244,0.73441,3588.5,4472.8,8.4866,26.804,41.804,2703.6
1,1.0,245,0.7933,3600.1,4507.1,8.5089,26.772,42.383,2703.0
1,1.0,246,0.79254,3581.2,4461.9,8.5893,26.825,42.332,2700.1
1,1.0,247,0.74382,3683.6,4473.8,8.5889,27.202,42.315,2699.2
1,1.0,248,0.74157,3694.6,4479.9,8.5828,26.763,42.017,2700.8
1,1.0,249,0.76108,3733.3,4526.5,8.5293,27.103,42.178,2698.5
1,1.0,250,0.76048,3736.0,4514.3,8.4254,26.755,41.951,2694.9
1,1.0,251,0.83078,3617.5,4539.9,8.5567,27.06,42.076,2690.1
1,1.0,252,0.83108,3618.6,4489.3,8.5799,26.892,41.972,2688.7
1,1.0,253,0.80083,3624.2,4445.2,8.6607,27.003,42.426,2690.1
1,1.0,254,0.79826,3584.4,4462.9,8.5855,26.748,42.042,2693.8
1,1.0,255,0.82891,3631.0,4437.6,8.7693,27.024,42.05,2692.2
1,1.0,256,0.82819,3654.9,4444.9,8.5272,26.71,41.905,2690.0
1,1.0,257,0.82414,3642.2,4426.2,8.6213,27.11,42.446,2687.7
1,1.0,258,0.82702,3657.9,4428.8,8.6011,27.263,42.359,2683.6
1,1.0,259,0.81395,3634.1,4413.6,8.5265,27.1,42.175,2683.8
1,1.0,260,0.81377,3584.4,4457.3,8.6501,27.028,42.045,2685.7
1,1.0,261,0.79687,3621.1,4437.1,8.6652,27.292,42.915,2683.4
1,1.0,262,0.79958,3613.6,4448.5,8.6584,27.025,42.511,2682.7
1,1.0,263,0.84756,3650.5,4397.0,8.7222,26.807,42.131,2687.5
1,1.0,264,0.84835,3663.0,4380.8,8.8417,26.891,42.04,2685.8
1,1.0,265,0.85906,3647.6,4445.4,8.8219,27.021,42.435,2687.2
1,1.0,266,0.85805,3660.7,4434.5,8.7368,26.883,42.301,2688.2
1,1.0,267,0.82498,3666.1,4442.0,8.8162,26.744,42.101,2688.1
1,1.0,268,0.82583,3641.3,4414.3,8.7261,27.047,42.514,2686.3
1,1.0,269,0.82413,3674.6,4423.5,8.6294,26.996,42.29,2685.1
1,1.0,270,0.82559,3621.3,4428.1,8.7428,27.35,42.215,2685.3
1,1.0,271,0.80734,3665.6,4488.4,8.8429,26.948,42.288,2685.2
1,1.0,272,0.80737,3651.2,4431.9,8.8015,26.644,42.292,2685.6
1,1.0,273,0.83803,3668.9,4394.9,8.8051,27.005,42.313,2686.6
1,1.0,274,0.83851,3663.6,4445.9,8.7803,27.046,42.421,2690.3
1,1.0,275,0.81391,3625.9,4435.7,8.766,26.935,42.058,2691.8
1,1.0,276,0.81464,3663.4,4440.0,8.9167,26.852,42.34,2690.9
1,1.0,277,0.83864,3638.1,4381.1,8.7614,26.731,41.876,2690.6
1,1.0,278,0.83856,3628.0,4362.0,9.0378,27.022,42.764,2695.0
1,1.0,279,0.85623,3695.7,4464.9,8.9201,27.239,42.727,2694.9
1,1.0,280,0.85615,3642.6,4400.9,8.7488,27.236,42.438,2695.4
1,1.0,281,0.80946,3661.7,4402.2,8.8979,27.068,42.295,2699.0
1,1.0,282,0.81114,3678.6,4418.5,8.8456,26.495,42.397,2698.2
1,1.0,283,0.7979,3667.3,4432.6,8.8811,26.736,42.415,2699.0
1,1.0,284,0.79882,3682.7,4386.7,8.7993,26.911,42.483,2700.9
1,1.0,285,0.75829,3651.2,4420.4,8.8998,26.882,42.485,2699.8
1,1.0,286,0.75841,3677.0,4456.8,8.9463,27.004,42.432,2700.3
1,1.0,287,0.77661,3696.7,4454.2,8.9926,26.83,42.386,2701.0
1,1.0,288,0.77242,3702.5,4471.3,8.9016,26.936,42.247,2702.0
1,1.0,289,0.74532,3660.7,4502.3,9.0062,26.731,42.256,2704.1
1,1.0,290,0.74445,3636.8,4553.1,8.8001,26.77,41.96,2704.9
1,1.0,291,0.78238,3633.4,4516.6,8.9677,26.545,42.525,2705.7
1,1.0,292,0.78414,3638.7,4463.4,8.954,26.72,42.155,2708.4
1,1.0,293,0.75474,3632.1,4465.6,8.9089,27.147,42.065,2712.3
1,1.0,294,0.75054,3683.6,4434.9,8.9422,26.756,42.245,2711.9
1,1.0,295,0.72374,3696.4,4455.6,8.9682,26.82,42.26,2709.4
1,1.0,296,0.72601,3679.9,4425.0,8.9541,27.412,42.097,2710.7
1,1.0,297,0.74126,3656.4,4472.8,8.8348,27.092,42.151,2710.7
1,1.0,298,0.74448,3681.0,4481.6,8.8629,26.606,42.396,2709.8
1,1.0,299,0.75821,3669.7,4504.6,8.8989,27.182,42.309,2710.8
1,1.0,300,0.7618,3671.7,4498.2,8.9472,26.662,42.332,2712.1
