Time,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,secondaryFault,tertiaryFault,correctLabels
10,0.2348,3677.4,4489.8,9.3199,26.695,42.014,2703.9,75.193,120.39,0.35435,80.241,48.487,2632.9,26.304,48.203,3102.2,23.319,65.774,230.92,341.2,94.645,77.569,32.148,8.9493,26.111,6.7796,18.826,1.6824,32.876,13.811,23.921,1.2803,18.58,2.2525,4.8822,2.2569,0.014489,0.81503,0.1046,54.279,44.352,62.645,54.542,23.133,61.425,21.93,42.262,33.648,42.375,47.328,40.344,17.198,0,0,1
11,0.2357,3643.6,4517.4,9.4013,26.404,42.81,2703.8,74.927,120.41,0.35572,80.159,50.624,2632.1,26.284,49.862,3100.8,22.81,65.806,228.63,341.84,94.6,77.188,32.148,8.9493,26.111,6.7796,18.826,1.6824,32.876,13.811,23.921,1.2803,18.58,2.2525,4.8822,2.2569,0.014489,0.81503,0.1046,54.279,44.352,63.225,54.212,23.045,59.849,21.885,42.095,39.936,46.215,47.502,41.941,18.437,0,0,1
12,0.25649,3680.1,4506.3,9.3763,27.232,42.42,2702.1,74.162,120.4,0.33749,79.954,49.921,2630.5,24.338,50.699,3100.0,23.758,65.755,229.37,341.99,94.588,76.938,31.846,8.9871,26.038,6.7198,18.788,1.6393,32.8,13.653,24.249,1.2589,18.659,2.3039,4.8773,2.3073,0.014489,0.81503,0.1046,54.279,44.352,63.793,53.85,25.789,59.739,22.07,39.762,37.869,48.152,47.409,40.571,16.216,0,0,1
13,0.25909,3693.7,4514.2,9.3814,27.158,42.552,2702.5,75.831,120.42,0.33658,80.13,51.44,2632.0,25.9,48.819,3101.2,23.161,65.743,229.76,341.33,94.483,77.574,31.846,8.9871,26.038,6.7198,18.788,1.6393,32.8,13.653,24.249,1.2589,18.659,2.3039,4.8773,2.3073,0.014489,0.81503,0.1046,54.279,44.352,63.56,53.755,25.532,61.357,22.12,39.873,42.336,43.801,47.349,42.213,17.59,0,0,1
14,0.2908,3713.0,4521.6,9.3023,26.873,42.685,2704.9,74.45,120.38,0.31894,80.302,49.355,2633.8,23.187,50.428,3103.6,23.614,65.751,230.21,341.2,94.458,77.751,32.377,9.0958,25.924,6.7767,18.918,1.7001,32.966,13.866,24.153,1.1243,18.499,2.2626,4.8358,2.2511,0.014489,0.81503,0.1046,54.279,44.352,63.876,53.754,28.544,62.431,21.902,37.636,36.203,47.524,47.281,40.925,16.49,0,0,1
15,0.29176,3713.7,4501.2,9.3591,26.744,42.092,2706.8,75.553,120.41,0.31518,80.421,48.848,2635.9,24.526,49.526,3104.1,24.509,65.818,226.84,341.66,94.224,77.227,32.377,9.0958,25.924,6.7767,18.918,1.7001,32.966,13.866,24.153,1.1243,18.499,2.2626,4.8358,2.2511,0.017134,0.84727,0.1028,52.902,43.729,63.865,53.998,28.45,60.255,22.152,38.096,34.711,45.437,47.058,41.889,14.375,0,0,1
16,0.23719,3672.7,4534.8,9.2755,26.619,42.459,2703.7,75.906,120.39,0.33876,80.243,49.671,2632.1,25.148,50.365,3099.2,22.109,65.801,225.24,341.55,94.443,76.949,32.248,8.8607,26.162,6.9387,18.875,1.6302,33.051,13.826,23.782,1.2428,18.718,2.2891,4.8282,2.2903,0.017134,0.84727,0.1028,52.902,43.729,64.197,53.263,23.865,62.327,22.318,40.833,37.131,47.379,46.957,40.956,20.094,0,0,1
17,0.23812,3661.2,4479.4,9.2821,27.286,42.303,2696.1,74.57,120.4,0.33787,79.805,49.889,2624.5,25.232,50.091,3094.2,22.187,65.74,225.59,341.38,94.538,76.789,32.248,8.8607,26.162,6.9387,18.875,1.6302,33.051,13.826,23.782,1.2428,18.718,2.2891,4.8282,2.2903,0.017134,0.84727,0.1028,52.902,43.729,64.396,53.927,23.773,59.957,22.223,40.941,37.774,46.744,46.687,41.324,19.96,0,0,1
18,0.25179,3666.1,4526.5,9.3263,26.953,42.107,2695.5,75.508,120.38,0.33706,79.844,49.974,2624.6,24.686,50.815,3092.3,22.681,65.623,225.91,341.66,94.685,77.217,31.956,8.9687,26.298,6.9393,18.891,1.6501,33.267,13.805,24.303,1.221,18.729,2.2572,4.9425,2.3104,0.017134,0.84727,0.1028,52.902,43.729,62.914,53.447,24.63,61.859,21.95,39.997,38.022,48.419,46.426,40.819,18.776,0,0,1
19,0.25299,3650.4,4477.0,9.2933,27.165,42.307,2699.2,75.131,120.38,0.33704,80.191,48.99,2628.4,25.703,49.477,3095.0,22.979,65.587,225.03,341.35,94.677,77.754,31.956,8.9687,26.298,6.9393,18.891,1.6501,33.267,13.805,24.303,1.221,18.729,2.2572,4.9425,2.3104,0.017134,0.84727,0.1028,52.902,43.729,63.183,54.04,24.512,61.572,22.608,39.999,35.128,45.325,46.273,41.153,18.022,0,0,1
20,0.27833,3649.7,4479.9,9.3486,26.387,42.564,2701.5,75.073,120.4,0.33729,80.384,50.172,2630.3,27.059,50.066,3097.6,22.868,65.649,226.86,341.45,94.518,77.321,32.294,9.0822,26.056,6.9624,18.749,1.6767,33.065,13.966,23.52,1.3563,18.466,2.2213,4.8492,2.232,0.018032,0.87043,0.10962,53.559,43.529,63.137,53.947,27.761,60.589,21.743,39.398,38.607,46.686,46.688,41.585,18.294,0,0,1
21,0.27992,3647.2,4516.1,9.4227,27.093,42.452,2701.2,74.917,120.41,0.33888,80.229,49.531,2629.9,24.622,51.106,3097.5,22.978,65.679,225.78,341.07,94.626,77.43,32.294,9.0822,26.056,6.9624,18.749,1.6767,33.065,13.966,23.52,1.3563,18.466,2.2213,4.8492,2.232,0.018032,0.87043,0.10962,53.559,43.529,63.179,53.514,27.605,61.209,22.133,39.204,36.719,49.093,46.898,41.303,18.034,0,0,1
22,0.24735,3648.7,4505.7,9.465,26.761,42.765,2699.8,74.646,120.4,0.35154,80.175,52.351,2628.2,27.138,50.364,3096.8,23.114,65.707,227.59,341.4,94.625,77.243,32.415,8.9563,26.225,6.6925,18.938,1.6194,32.598,13.782,23.943,1.3275,18.333,2.2519,4.8318,2.325,0.018032,0.87043,0.10962,53.559,43.529,62.886,53.982,24.505,61.251,22.177,42.071,45.02,47.376,46.854,40.988,17.724,0,0,1
23,0.24847,3677.2,4491.0,9.3631,26.88,42.538,2699.6,74.685,120.39,0.35221,80.139,48.538,2628.1,26.368,50.855,3096.5,22.501,65.683,228.07,341.47,94.695,77.259,32.415,8.9563,26.225,6.6925,18.938,1.6194,32.598,13.782,23.943,1.3275,18.333,2.2519,4.8318,2.325,0.018032,0.87043,0.10962,53.559,43.529,62.396,54.157,24.396,61.648,21.921,41.989,33.798,48.512,46.931,40.832,19.179,0,0,1
24,0.23392,3732.0,4481.1,9.3416,26.901,42.089,2700.5,75.605,120.42,0.33267,80.246,50.045,2629.0,25.334,49.984,3097.3,21.802,65.689,227.78,341.38,94.569,77.377,32.247,9.0295,25.723,6.9583,18.586,1.6303,33.174,13.932,23.609,1.3523,18.964,2.2519,4.884,2.2843,0.018032,0.87043,0.10962,53.559,43.529,63.871,53.801,23.173,59.54,22.188,39.527,38.233,46.496,47.071,41.548,20.821,0,0,1
25,0.23546,3763.0,4542.1,9.3654,26.8,42.203,2700.0,74.491,120.41,0.33254,80.286,48.55,2628.4,24.971,49.573,3097.7,22.109,65.745,228.87,341.01,94.53,77.195,32.247,9.0295,25.723,6.9583,18.586,1.6303,33.174,13.932,23.609,1.3523,18.964,2.2519,4.884,2.2843,0.022881,0.85299,0.11356,53.254,44.275,63.338,53.072,23.022,60.996,22.045,39.542,33.833,45.547,47.723,40.676,20.1,0,0,1
26,0.24973,3648.5,4534.8,9.2431,26.767,42.384,2697.8,74.593,120.42,0.34966,80.234,50.876,2626.3,24.614,49.244,3095.6,23.122,65.814,233.45,340.95,94.523,77.376,32.51,9.0514,25.98,6.8278,18.649,1.6778,32.552,13.842,23.278,1.2319,18.497,2.2556,4.8516,2.3324,0.022881,0.85299,0.11356,53.254,44.275,63.03,54.024,24.519,59.965,21.921,41.512,40.678,44.784,47.702,41.456,17.687,0,0,1
27,0.2479,3661.6,4519.6,9.2943,26.72,42.723,2699.5,73.918,120.39,0.34734,80.273,49.028,2627.4,24.982,50.82,3095.6,22.95,65.832,232.41,341.54,94.717,77.155,32.51,9.0514,25.98,6.8278,18.649,1.6778,32.552,13.842,23.278,1.2319,18.497,2.2556,4.8516,2.3324,0.022881,0.85299,0.11356,53.254,44.275,62.804,54.206,24.7,62.42,22.041,41.794,35.24,48.431,48.182,40.8,18.102,0,0,1
28,0.22171,3706.3,4479.5,9.3125,27.058,42.505,2696.8,75.807,120.41,0.34205,80.204,49.661,2625.3,24.817,51.859,3095.1,22.695,65.877,233.08,340.82,94.589,77.283,32.433,8.8794,26.084,6.9887,18.571,1.6458,32.514,13.728,23.221,1.2481,18.374,2.2844,4.8825,2.2854,0.022881,0.85299,0.11356,53.254,44.275,63.169,54.557,21.898,61.484,21.924,40.128,37.102,50.836,48.507,41.269,18.711,0,0,1
29,0.224,3674.7,4499.5,9.3584,26.886,42.296,2696.9,75.005,120.4,0.33893,80.221,49.761,2625.8,24.898,51.703,3094.6,23.197,65.906,234.96,340.7,94.586,77.252,32.433,8.8794,26.084,6.9887,18.571,1.6458,32.514,13.728,23.221,1.2481,18.374,2.2844,4.8825,2.2854,0.022881,0.85299,0.11356,53.254,44.275,63.713,54.318,21.672,61.716,22.086,40.509,37.395,50.475,48.724,40.977,17.522,0,0,1
30,0.22515,3689.6,4525.4,9.4095,27.133,42.395,2698.9,75.073,120.41,0.32419,80.437,50.174,2627.2,24.056,51.358,3096.0,23.06,65.961,234.31,340.43,94.522,77.668,32.089,8.8669,26.468,6.8488,18.545,1.6743,33.579,13.961,23.174,1.1601,18.882,2.2733,4.9044,2.408,0.0099339,0.85338,0.097606,53.299,44.987,62.021,54.227,22.439,58.462,21.963,39.188,38.612,49.676,48.762,41.649,17.802,0,0,1
31,0.22588,3655.1,4489.0,9.263,26.598,42.294,2697.2,74.318,120.38,0.32758,80.35,50.56,2625.3,25.657,50.808,3094.9,22.125,66.03,234.11,340.49,94.794,76.963,32.089,8.8669,26.468,6.8488,18.545,1.6743,33.579,13.961,23.174,1.1601,18.882,2.2733,4.9044,2.408,0.0099339,0.85338,0.097606,53.299,44.987,62.614,54.662,22.367,61.0,21.722,38.774,39.748,48.404,48.982,40.864,20.061,0,0,1
32,0.25957,3715.6,4513.6,9.358,26.735,42.391,2695.8,75.02,120.38,0.3525,80.202,49.847,2624.7,26.117,49.015,3094.1,23.754,66.044,235.83,340.35,94.64,77.379,32.142,8.9316,26.509,6.9577,19.363,1.6246,32.612,13.877,23.609,1.2081,19.063,2.268,4.8928,2.2761,0.0099339,0.85338,0.097606,53.299,44.987,62.766,54.471,25.443,61.665,21.654,42.016,37.649,44.255,49.035,40.542,16.182,0,0,1
33,0.25765,3669.0,4515.6,9.4451,27.014,42.21,2696.8,75.194,120.41,0.35103,80.274,49.487,2625.6,24.542,50.914,3095.7,23.107,66.049,234.78,340.32,94.602,77.471,32.142,8.9316,26.509,6.9577,19.363,1.6246,32.612,13.877,23.609,1.2081,19.063,2.268,4.8928,2.2761,0.0099339,0.85338,0.097606,53.299,44.987,63.568,54.446,25.632,58.13,21.714,42.196,36.59,48.649,49.334,41.216,17.715,0,0,1
34,0.25449,3667.7,4400.5,9.3541,26.918,42.49,2698.4,74.431,120.4,0.34443,80.482,49.692,2625.9,24.128,50.836,3096.1,22.29,66.08,237.03,339.81,94.519,77.659,31.657,8.9209,26.092,6.7931,18.575,1.6752,33.133,13.858,23.909,1.4133,18.785,2.2492,4.8472,2.394,0.0099339,0.85338,0.097606,53.299,44.987,62.615,53.787,25.083,60.313,21.67,40.879,37.193,48.469,49.337,41.03,19.623,0,0,1
35,0.25645,3635.5,4408.3,9.2819,26.774,42.549,2696.6,73.968,120.39,0.34306,80.452,50.117,2625.1,24.366,49.316,3095.5,22.453,66.144,236.32,340.15,94.816,77.223,31.657,8.9209,26.092,6.7931,18.575,1.6752,33.133,13.858,23.909,1.4133,18.785,2.2492,4.8472,2.394,0.019303,0.83429,0.11179,53.071,44.529,63.17,53.693,24.89,60.471,21.63,41.046,38.444,44.951,49.639,40.576,19.258,0,0,1
36,0.30454,3676.8,4517.3,9.2999,26.969,42.666,2695.0,74.733,120.38,0.33888,80.178,50.169,2623.2,25.859,50.823,3095.2,23.127,66.163,237.3,339.67,94.53,77.18,32.2,8.8268,25.964,7.0221,18.748,1.6645,32.672,14.018,24.354,1.2394,18.772,2.2433,4.8623,2.3628,0.019303,0.83429,0.11179,53.071,44.529,63.909,54.29,29.991,63.11,21.237,41.126,38.597,48.438,49.771,40.683,17.681,0,0,1
37,0.30425,3687.9,4468.7,9.256,26.847,42.377,2696.0,74.975,120.42,0.34231,80.227,50.861,2625.4,24.239,49.214,3096.0,23.255,66.145,239.84,340.4,94.598,77.19,32.2,8.8268,25.964,7.0221,18.748,1.6645,32.672,14.018,24.354,1.2394,18.772,2.2433,4.8623,2.3628,0.019303,0.83429,0.11179,53.071,44.529,63.717,54.871,30.02,60.782,21.504,40.708,40.635,44.714,49.766,41.392,17.386,0,0,1
38,0.25375,3619.1,4544.2,9.2548,27.227,42.424,2697.1,74.035,120.41,0.36196,80.36,49.905,2625.6,24.907,51.234,3094.1,23.097,66.12,240.89,339.94,94.617,77.637,32.19,9.105,26.316,6.7759,18.898,1.653,33.083,13.889,23.871,1.1946,18.6,2.278,4.9716,2.3551,0.019303,0.83429,0.11179,53.071,44.529,62.869,53.561,25.181,60.334,21.993,42.77,37.821,49.391,49.891,41.276,17.727,0,0,1
39,0.25421,3601.1,4486.7,9.3263,26.846,42.582,2697.6,75.249,120.39,0.36227,80.452,48.455,2625.8,26.629,51.555,3095.3,23.418,66.193,238.68,340.22,94.651,77.248,32.19,9.105,26.316,6.7759,18.898,1.653,33.083,13.889,23.871,1.1946,18.6,2.278,4.9716,2.3551,0.019303,0.83429,0.11179,53.071,44.529,63.179,54.25,25.135,61.987,21.831,42.732,33.552,50.133,50.302,40.587,16.976,0,0,1
40,0.25674,3683.3,4472.1,9.2549,26.829,42.854,2696.2,75.389,120.39,0.34573,80.309,49.686,2624.0,24.186,48.9,3097.5,22.383,66.216,240.07,339.76,94.623,77.354,32.092,9.116,26.34,6.818,18.53,1.6367,32.591,13.802,23.652,1.3176,18.573,2.2782,4.9142,2.4603,0.030477,0.84586,0.093216,53.33,44.621,63.908,54.05,25.067,62.835,21.498,41.471,37.175,43.988,49.92,41.145,19.425,0,0,1
41,0.25626,3714.9,4522.3,9.2305,26.842,42.746,2694.5,74.896,120.4,0.34687,80.172,50.591,2623.4,23.488,49.314,3094.9,23.991,66.197,238.32,340.3,94.502,76.97,32.092,9.116,26.34,6.818,18.53,1.6367,32.591,13.802,23.652,1.3176,18.573,2.2782,4.9142,2.4603,0.030477,0.84586,0.093216,53.33,44.621,63.362,53.45,25.114,61.958,21.411,41.333,39.839,44.946,50.086,40.748,15.658,0,0,1
42,0.26309,3677.2,4536.7,9.3614,26.785,42.414,2696.5,73.887,120.43,0.33739,80.305,49.316,2625.4,25.184,50.075,3095.0,24.058,66.162,238.14,340.57,94.558,77.618,32.544,8.7147,26.12,7.0403,18.661,1.6655,32.527,13.782,24.224,1.4823,18.488,2.2439,4.9333,2.3281,0.030477,0.84586,0.093216,53.33,44.621,63.723,54.188,26.398,60.858,21.881,40.199,36.086,46.708,50.115,41.446,15.45,0,0,1
43,0.26513,3685.6,4522.0,9.2694,26.943,42.696,2698.4,74.921,120.4,0.33673,80.635,49.814,2627.0,25.498,49.314,3098.4,22.758,66.23,240.12,339.83,94.414,77.957,32.544,8.7147,26.12,7.0403,18.661,1.6655,32.527,13.782,24.224,1.4823,18.488,2.2439,4.9333,2.3281,0.030477,0.84586,0.093216,53.33,44.621,63.578,54.364,26.198,61.327,21.622,40.28,37.552,44.946,49.946,40.87,18.479,0,0,1
44,0.22186,3618.8,4524.4,9.2022,26.879,42.447,2696.7,75.238,120.42,0.33436,80.549,50.098,2625.8,26.569,50.012,3096.0,23.472,66.305,238.05,339.98,94.542,77.029,32.252,8.8607,26.223,7.0108,18.492,1.7146,33.205,13.707,23.808,1.331,19.156,2.2973,4.8463,2.3167,0.030477,0.84586,0.093216,53.33,44.621,62.734,54.046,21.583,60.279,21.789,39.995,38.388,46.561,50.134,41.804,16.839,0,0,1
45,0.21873,3645.2,4548.2,9.2642,26.832,42.127,2694.7,75.719,120.32,0.33577,80.361,49.704,2623.3,26.282,48.966,3093.6,22.263,66.31,238.16,339.8,94.704,77.351,32.252,8.8607,26.223,7.0108,18.492,1.7146,33.205,13.707,23.808,1.331,19.156,2.2973,4.8463,2.3167,0.021817,0.8509,0.095322,53.895,43.603,62.28,53.761,21.891,62.665,21.494,39.822,37.228,44.141,50.434,39.663,19.696,0,0,1
46,0.24697,3636.3,4487.2,9.2969,27.051,42.247,2694.4,75.008,120.43,0.32657,80.118,50.857,2621.9,24.949,48.807,3094.3,24.006,66.24,241.77,339.69,94.862,76.844,32.477,8.9682,26.214,6.9046,18.938,1.6545,32.715,13.793,23.445,1.2345,19.074,2.2834,4.8837,2.2889,0.021817,0.8509,0.095322,53.895,43.603,62.555,54.939,24.236,61.862,21.432,38.82,40.622,43.773,50.254,42.5,15.618,0,0,1
47,0.24535,3625.6,4540.8,9.3654,26.819,42.293,2694.8,75.648,120.35,0.32734,80.056,50.016,2623.0,27.155,52.901,3092.7,22.118,66.18,242.24,340.16,94.717,77.192,32.477,8.9682,26.214,6.9046,18.938,1.6545,32.715,13.793,23.445,1.2345,19.074,2.2834,4.8837,2.2889,0.021817,0.8509,0.095322,53.895,43.603,62.74,54.297,24.395,62.804,21.662,38.727,38.148,53.249,50.359,39.538,20.099,0,0,1
48,0.22258,3651.6,4489.0,9.3374,27.126,42.126,2696.9,74.681,120.43,0.33256,80.266,50.05,2625.6,25.114,50.269,3095.4,22.229,66.163,243.18,340.35,94.795,77.27,31.943,8.7918,26.317,7.078,19.147,1.6781,32.91,13.617,23.498,1.2105,18.507,2.2645,4.8901,2.2744,0.021817,0.8509,0.095322,53.895,43.603,63.152,53.833,21.989,58.99,21.844,40.271,38.246,47.156,50.42,41.562,19.824,0,0,1
49,0.22461,3674.6,4498.1,9.4294,27.063,42.056,2696.3,74.543,120.38,0.33428,80.264,50.183,2624.4,25.611,50.482,3095.0,22.627,66.2,242.79,339.57,94.637,77.407,31.943,8.7918,26.317,7.078,19.147,1.6781,32.91,13.617,23.498,1.2105,18.507,2.2645,4.8901,2.2744,0.021817,0.8509,0.095322,53.895,43.603,62.757,53.724,21.79,58.189,21.901,40.06,38.638,47.65,50.597,40.292,18.876,0,0,1
50,0.27849,3612.3,4464.2,9.4126,27.011,42.321,2698.0,74.634,120.4,0.31444,80.375,49.895,2626.4,25.218,50.716,3095.8,23.035,66.228,243.99,340.19,94.729,77.496,32.243,8.96,25.821,6.8451,19.281,1.709,32.763,13.835,23.511,1.3083,18.776,2.2606,4.7869,2.3282,-0.0027836,0.83347,0.087905,54.117,43.692,62.205,53.573,26.605,59.47,21.991,37.616,37.79,48.192,50.782,41.424,17.891,0,0,1
51,0.27471,3625.0,4482.2,9.3097,26.674,42.446,2701.8,74.566,120.39,0.31459,80.531,50.932,2630.4,26.251,49.162,3098.2,23.159,66.315,244.53,340.43,94.669,77.526,32.243,8.96,25.821,6.8451,19.281,1.709,32.763,13.835,23.511,1.3083,18.776,2.2606,4.7869,2.3282,-0.0027836,0.83347,0.087905,54.117,43.692,61.986,53.357,26.977,61.219,22.016,37.597,40.843,44.595,50.935,40.635,17.578,0,0,1
52,0.24733,3692.4,4418.1,9.2317,27.197,42.279,2700.6,74.918,120.4,0.33628,80.397,51.856,2627.3,25.18,49.537,3099.3,22.799,66.379,243.17,340.21,94.742,77.17,31.945,8.9547,26.17,6.7851,18.674,1.6671,32.49,13.804,23.656,1.4456,19.212,2.2851,4.8944,2.2751,-0.0027836,0.83347,0.087905,54.117,43.692,62.795,53.72,24.169,63.669,21.766,40.636,43.563,45.463,51.256,40.83,18.453,0,0,1
53,0.24838,3691.8,4449.6,9.3274,27.122,42.144,2699.4,74.039,120.42,0.33886,80.344,51.987,2627.8,22.736,49.77,3097.8,23.01,66.364,243.0,340.07,94.597,77.526,31.945,8.9547,26.17,6.7851,18.674,1.6671,32.49,13.804,23.656,1.4456,19.212,2.2851,4.8944,2.2751,-0.0027836,0.83347,0.087905,54.117,43.692,62.804,53.344,24.065,61.799,21.9,40.321,43.947,46.001,51.475,41.09,17.926,0,0,1
54,0.277,3666.8,4494.6,9.4456,26.73,42.52,2699.2,74.73,120.37,0.33646,80.179,51.032,2626.9,25.977,49.687,3098.5,23.161,66.363,244.21,340.25,94.614,76.992,32.523,8.7935,25.819,6.9054,18.562,1.6817,33.005,13.845,23.561,1.2323,19.244,2.2649,4.9037,2.3916,-0.0027836,0.83347,0.087905,54.117,43.692,63.824,54.262,27.115,60.815,21.51,39.788,41.136,45.81,51.568,40.823,17.613,0,0,1
55,0.27252,3711.4,4480.0,9.4108,27.057,42.335,2699.1,74.491,120.43,0.33524,80.188,49.391,2627.5,25.682,50.09,3099.0,22.769,66.328,247.26,340.42,94.52,77.482,32.523,8.7935,25.819,6.9054,18.562,1.6817,33.005,13.845,23.561,1.2323,19.244,2.2649,4.9037,2.3916,0.042356,0.8358,0.10184,54.551,43.513,63.056,54.436,27.556,62.25,21.852,39.936,36.307,46.741,51.068,42.318,18.521,0,0,1
