,faultNumber,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
10,0.0,3671.5,4490.8,9.3908,26.745,42.262,2702.8,75.431,120.41,0.33771,80.255,48.681,2632.3,23.745,51.64,3098.9,22.837,65.65,227.89,341.37,94.711,77.772,32.19,8.8621,26.274,6.9613,18.625,1.6301,33.379,13.811,23.616,1.1687,18.09,2.2229,4.8361,2.3159,0.014913,0.83532,0.094219,53.45,43.969,63.465,53.482,23.305,63.922,22.365,40.136,34.219,50.33,47.529,41.623,18.368
11,0.0,3700.4,4455.0,9.3468,26.764,42.294,2705.2,74.519,120.39,0.34062,80.408,49.732,2633.6,25.31,51.246,3101.6,23.235,65.752,229.99,340.84,94.468,77.28,32.19,8.8621,26.274,6.9613,18.625,1.6301,33.379,13.811,23.616,1.1687,18.09,2.2229,4.8361,2.3159,0.014913,0.83532,0.094219,53.45,43.969,62.966,53.911,23.127,61.122,22.139,39.78,37.31,49.417,47.278,41.308,17.429
12,0.0,3621.8,4491.3,9.2702,27.094,42.449,2706.1,74.063,120.4,0.33696,80.47,50.21,2634.3,26.448,50.84,3102.9,22.986,65.811,228.86,341.49,94.576,77.631,32.128,9.0644,26.845,6.6469,18.994,1.6667,33.096,13.919,24.277,1.2024,18.995,2.2699,4.8403,2.3081,0.014913,0.83532,0.094219,53.45,43.969,63.149,54.471,24.257,63.245,22.285,39.944,38.718,48.478,47.311,41.714,17.969
13,0.0,3637.3,4502.1,9.4927,27.086,42.554,2703.8,74.185,120.39,0.33596,80.269,49.386,2632.7,24.539,47.622,3102.6,22.57,65.865,228.4,341.51,94.603,76.91,32.128,9.0644,26.845,6.6469,18.994,1.6667,33.096,13.919,24.277,1.2024,18.995,2.2699,4.8403,2.3081,0.014913,0.83532,0.094219,53.45,43.969,62.882,54.341,24.488,60.038,21.96,40.066,36.294,41.03,47.286,40.291,19.014
14,0.0,3736.7,4530.8,9.2799,26.641,42.007,2700.4,75.6,120.42,0.35046,79.809,50.66,2628.7,25.432,51.181,3098.5,23.202,65.763,227.61,340.96,94.611,76.735,31.862,8.911,26.341,7.0463,18.986,1.6318,33.042,13.82,23.953,1.257,18.826,2.2594,4.7945,2.2632,0.014913,0.83532,0.094219,53.45,43.969,64.002,53.088,25.005,59.822,21.631,41.236,40.043,49.266,47.295,41.867,17.565
15,0.0,3744.9,4507.7,9.3344,26.577,42.476,2700.7,74.816,120.4,0.3483,79.93,50.441,2629.4,26.722,49.964,3097.0,23.335,65.668,229.7,341.49,94.445,77.411,31.862,8.911,26.341,7.0463,18.986,1.6318,33.042,13.82,23.953,1.257,18.826,2.2594,4.7945,2.2632,0.010091,0.83588,0.096476,54.572,43.566,63.862,53.364,24.684,59.429,21.905,41.499,39.397,46.45,47.176,41.217,17.214
16,0.0,3631.5,4501.1,9.3847,27.112,42.48,2700.6,74.828,120.4,0.33659,80.045,51.313,2628.7,25.513,50.477,3098.7,24.394,65.665,231.87,341.06,94.644,77.418,32.04,8.9062,26.441,6.8461,18.868,1.6448,32.665,13.85,24.23,1.1839,18.578,2.3015,4.8849,2.2623,0.010091,0.83588,0.096476,54.572,43.566,62.343,53.426,27.802,61.405,22.179,40.351,41.965,47.638,46.976,41.069,14.697
17,0.0,3605.9,4506.7,9.4268,27.066,42.468,2704.6,74.544,120.39,0.33958,80.334,49.154,2634.1,24.392,48.321,3101.2,22.263,65.705,230.03,341.15,94.553,78.013,32.04,8.9062,26.441,6.8461,18.868,1.6448,32.665,13.85,24.23,1.1839,18.578,2.3015,4.8849,2.2623,0.010091,0.83588,0.096476,54.572,43.566,62.784,53.359,27.91,60.83,22.433,39.986,35.61,42.648,47.132,40.802,19.691
18,0.0,3669.9,4486.5,9.3467,27.508,42.367,2705.2,74.655,120.38,0.3432,80.256,51.03,2633.8,25.96,50.733,3104.0,22.923,65.782,229.35,341.76,94.723,77.071,32.18,8.9939,26.485,7.0729,18.294,1.6534,32.928,13.801,23.769,1.2842,18.432,2.2365,4.9113,2.189,0.010091,0.83588,0.096476,54.572,43.566,63.378,53.865,26.273,60.458,22.18,40.372,41.131,48.229,47.18,41.373,18.181
19,0.0,3693.4,4482.1,9.3008,27.029,41.903,2705.8,73.674,120.39,0.34475,80.201,51.416,2634.4,24.528,50.304,3102.8,24.03,65.751,231.77,341.69,94.457,77.288,32.18,8.9939,26.485,7.0729,18.294,1.6534,32.928,13.801,23.769,1.2842,18.432,2.2365,4.9113,2.189,0.010091,0.83588,0.096476,54.572,43.566,62.974,53.917,26.368,62.257,22.314,40.183,42.266,47.238,46.956,41.61,15.542
20,0.0,3620.1,4552.3,9.4279,26.761,42.496,2706.9,74.89,120.38,0.33543,80.145,49.114,2635.8,26.284,50.49,3103.2,22.52,65.752,228.35,342.38,94.71,77.345,32.349,8.8796,26.368,6.8753,18.857,1.6707,33.014,13.753,23.751,1.2075,18.855,2.2486,4.8991,2.3166,0.014563,0.83139,0.091569,55.265,43.201,62.174,54.52,24.959,60.839,22.413,40.015,35.494,47.668,47.266,40.667,19.115
21,0.0,3606.5,4529.5,9.2856,26.63,42.295,2707.8,74.183,120.39,0.33882,80.161,49.322,2635.9,24.471,49.794,3103.2,22.394,65.724,227.67,342.12,94.625,77.561,32.349,8.8796,26.368,6.8753,18.857,1.6707,33.014,13.753,23.751,1.2075,18.855,2.2486,4.8991,2.3166,0.014563,0.83139,0.091569,55.265,43.201,62.407,54.793,25.066,61.649,22.126,39.601,36.106,46.057,47.325,40.962,19.398
22,0.0,3641.8,4505.9,9.4529,26.826,42.518,2708.0,75.099,120.4,0.33046,80.124,49.539,2637.2,24.026,47.293,3104.5,23.523,65.725,229.47,342.12,94.714,77.457,32.49,8.8473,26.604,6.9488,18.829,1.6697,33.288,13.95,24.095,1.162,18.562,2.2897,4.9059,2.2788,0.014563,0.83139,0.091569,55.265,43.201,63.446,53.726,23.362,61.115,22.338,39.252,36.743,40.269,47.163,41.52,16.721
23,0.0,3673.8,4503.6,9.355,26.673,42.546,2709.0,74.837,120.42,0.33479,80.18,50.529,2637.8,25.168,48.29,3105.5,22.397,65.729,229.8,342.3,94.592,77.434,32.49,8.8473,26.604,6.9488,18.829,1.6697,33.288,13.95,24.095,1.162,18.562,2.2897,4.9059,2.2788,0.014563,0.83139,0.091569,55.265,43.201,62.895,53.753,23.265,60.824,22.335,38.724,39.656,42.576,47.132,41.364,19.39
24,0.0,3615.6,4501.0,9.2854,27.005,42.382,2707.3,74.971,120.4,0.35131,80.043,49.695,2636.1,26.061,51.393,3103.3,22.221,65.689,228.89,342.47,94.641,77.282,32.048,8.9782,26.149,6.691,18.773,1.687,33.045,13.799,23.986,1.2888,18.325,2.2376,4.8878,2.2517,0.014563,0.83139,0.091569,55.265,43.201,63.224,53.843,21.674,62.583,22.662,42.032,37.204,49.758,47.212,41.151,19.824
25,0.0,3630.3,4536.5,9.3989,26.768,42.118,2707.3,74.161,120.41,0.35096,80.116,49.996,2636.7,24.599,50.536,3103.2,22.766,65.688,228.13,342.16,94.61,77.126,32.048,8.9782,26.149,6.691,18.773,1.687,33.045,13.799,23.986,1.2888,18.325,2.2376,4.8878,2.2517,0.0048493,0.8347,0.096954,54.017,44.1,62.97,53.418,21.735,59.859,22.53,42.076,38.088,47.774,47.161,40.191,18.536
26,0.0,3710.3,4494.3,9.2581,27.046,42.418,2708.1,75.238,120.39,0.33498,79.999,50.15,2637.0,24.839,50.55,3105.6,22.214,65.665,231.57,342.16,94.629,77.299,32.392,8.9036,26.334,6.6703,18.682,1.6273,33.194,13.761,23.951,1.2901,18.743,2.2852,4.8614,2.2714,0.0048493,0.8347,0.096954,54.017,44.1,63.915,54.057,25.775,61.353,22.335,40.075,38.542,47.806,46.804,41.081,19.84
27,0.0,3726.2,4474.3,9.2692,26.884,42.356,2707.5,74.426,120.43,0.33742,79.997,49.756,2637.1,23.388,51.002,3104.3,23.635,65.637,230.23,341.93,94.368,77.022,32.392,8.9036,26.334,6.6703,18.682,1.6273,33.194,13.761,23.951,1.2901,18.743,2.2852,4.8614,2.2714,0.0048493,0.8347,0.096954,54.017,44.1,63.64,54.296,25.876,62.214,22.52,39.778,37.383,48.854,46.874,41.94,16.489
28,0.0,3740.6,4540.1,9.3746,26.921,42.139,2706.7,75.758,120.43,0.32801,80.097,50.258,2635.9,27.083,51.137,3105.8,23.461,65.647,230.45,341.7,94.388,77.479,31.941,8.8225,26.662,6.8856,18.389,1.6419,32.909,13.643,23.986,1.279,18.259,2.2552,4.8836,2.3722,0.0048493,0.8347,0.096954,54.017,44.1,63.764,53.741,22.431,63.541,22.083,39.827,38.858,49.166,46.804,41.523,16.869
29,0.0,3763.3,4513.4,9.3839,26.954,42.737,2706.4,74.997,120.4,0.33042,80.151,51.106,2635.1,24.271,49.291,3104.0,22.312,65.654,229.17,341.7,94.389,77.469,31.941,8.8225,26.662,6.8856,18.389,1.6419,32.909,13.643,23.986,1.279,18.259,2.2552,4.8836,2.3722,0.0048493,0.8347,0.096954,54.017,44.1,63.374,54.06,22.477,60.069,22.33,39.532,41.355,44.893,46.867,40.656,19.589
30,0.0,3689.1,4529.9,9.3692,27.08,42.357,2705.0,74.998,120.4,0.31768,80.061,50.195,2633.8,25.07,49.732,3103.4,23.283,65.703,227.9,341.16,94.432,76.954,31.986,8.8258,26.416,7.0556,18.631,1.6734,32.96,13.857,23.927,1.3303,18.737,2.2688,4.8766,2.3433,0.031767,0.83845,0.1066,54.504,43.731,62.859,54.622,26.896,62.312,22.34,37.763,38.675,45.914,47.006,41.164,17.317
31,0.0,3650.6,4556.7,9.3239,27.256,42.657,2706.6,76.045,120.38,0.31691,80.153,50.438,2635.3,24.052,49.922,3104.6,23.068,65.652,228.96,341.93,94.545,77.561,31.986,8.8258,26.416,7.0556,18.631,1.6734,32.96,13.857,23.927,1.3303,18.737,2.2688,4.8766,2.3433,0.031767,0.83845,0.1066,54.504,43.731,63.522,54.301,26.706,62.37,22.409,37.857,39.388,46.353,46.895,40.95,17.789
32,0.0,3606.1,4539.5,9.3398,26.825,42.056,2707.2,76.314,120.4,0.33993,80.133,48.706,2636.0,24.546,51.697,3103.3,23.063,65.697,228.44,341.76,94.585,77.119,31.983,8.7454,26.594,6.9065,18.706,1.6631,32.782,13.842,24.215,1.2556,18.891,2.2455,4.8579,2.2407,0.031767,0.83845,0.1066,54.504,43.731,62.714,53.957,26.711,61.703,22.305,40.65,34.291,50.461,46.923,40.969,17.828
33,0.0,3648.6,4539.0,9.3194,27.245,42.141,2706.6,75.379,120.37,0.34191,79.946,50.754,2635.0,25.362,52.02,3103.3,22.98,65.651,228.8,342.14,94.676,77.127,31.983,8.7454,26.594,6.9065,18.706,1.6631,32.782,13.842,24.215,1.2556,18.891,2.2455,4.8579,2.2407,0.031767,0.83845,0.1066,54.504,43.731,61.981,53.963,26.563,61.808,22.688,40.407,40.32,51.209,46.876,40.488,18.038
34,0.0,3644.2,4480.9,9.3796,27.009,42.378,2707.6,75.372,120.41,0.33905,80.093,50.591,2636.5,25.0,51.093,3105.9,23.444,65.646,228.64,341.62,94.648,77.717,32.305,8.8869,26.664,6.7737,18.377,1.6356,32.641,13.877,24.225,1.3924,18.273,2.2702,4.8013,2.1799,0.031767,0.83845,0.1066,54.504,43.731,63.272,54.493,27.056,61.18,22.229,40.417,39.839,49.063,46.875,41.001,16.894
35,0.0,3692.3,4559.9,9.2535,26.729,42.611,2709.3,75.763,120.39,0.3378,80.194,51.197,2638.8,26.015,48.574,3107.0,22.416,65.65,228.43,341.79,94.494,77.239,32.305,8.8869,26.664,6.7737,18.377,1.6356,32.641,13.877,24.225,1.3924,18.273,2.2702,4.8013,2.1799,0.019758,0.84054,0.10784,54.27,44.518,62.444,53.548,26.935,61.252,22.0,40.57,41.624,43.233,46.975,40.217,19.353
36,0.0,3699.4,4550.9,9.3267,26.993,42.617,2709.4,74.66,120.42,0.34476,80.132,50.514,2638.3,24.524,49.828,3105.8,23.486,65.648,229.31,342.36,94.632,77.34,32.421,8.9035,26.598,7.0119,19.038,1.6545,33.099,13.788,23.944,1.3947,18.539,2.2315,4.8876,2.2852,0.019758,0.84054,0.10784,54.27,44.518,63.527,54.502,23.89,60.914,22.514,40.691,39.614,46.136,46.923,41.96,16.805
37,0.0,3674.5,4572.5,9.4952,26.999,42.615,2707.0,74.293,120.39,0.34457,80.083,49.423,2636.0,26.212,51.618,3105.0,23.363,65.675,228.77,342.01,94.408,77.101,32.421,8.9035,26.598,7.0119,19.038,1.6545,33.099,13.788,23.944,1.3947,18.539,2.2315,4.8876,2.2852,0.019758,0.84054,0.10784,54.27,44.518,63.954,54.244,23.691,60.936,22.273,40.714,36.401,50.278,46.996,40.094,17.107
38,0.0,3611.3,4473.3,9.3186,26.832,42.2,2704.4,75.076,120.4,0.33314,79.932,52.086,2633.0,25.414,48.357,3101.0,22.742,65.668,230.02,342.0,94.683,77.032,32.156,8.8727,26.586,6.7717,18.59,1.6622,32.589,13.784,24.236,1.3476,18.686,2.2972,4.8259,2.2439,0.019758,0.84054,0.10784,54.27,44.518,62.943,53.82,22.603,60.96,22.263,39.747,44.239,42.731,46.911,41.279,18.603
39,0.0,3634.9,4495.9,9.3244,26.769,42.123,2703.8,75.291,120.37,0.33696,79.904,51.482,2632.5,25.16,48.758,3098.7,21.631,65.641,227.87,342.01,94.688,76.878,32.156,8.8727,26.586,6.7717,18.59,1.6622,32.589,13.784,24.236,1.3476,18.686,2.2972,4.8259,2.2439,0.019758,0.84054,0.10784,54.27,44.518,62.536,53.549,22.546,60.448,22.411,39.281,42.462,43.659,47.13,40.217,21.264
40,0.0,3690.4,4545.0,9.3486,27.173,42.282,2701.7,74.599,120.39,0.33498,79.618,49.756,2630.5,25.558,50.422,3098.0,22.626,65.546,231.5,342.05,94.711,76.65,32.17,8.867,26.433,7.0255,18.989,1.6653,32.821,13.72,24.02,1.1995,18.675,2.2357,4.8447,2.2806,0.020507,0.82816,0.089995,53.92,43.594,63.679,54.056,25.172,60.429,22.445,39.352,37.382,47.51,46.902,41.567,18.961
41,0.0,3711.9,4511.2,9.4296,27.157,42.609,2703.7,74.537,120.41,0.33178,79.816,51.079,2632.5,24.711,50.269,3100.1,22.985,65.486,232.25,341.58,94.537,77.763,32.17,8.867,26.433,7.0255,18.989,1.6653,32.821,13.72,24.02,1.1995,18.675,2.2357,4.8447,2.2806,0.020507,0.82816,0.089995,53.92,43.594,63.309,54.46,25.255,59.515,22.456,39.743,41.274,47.156,46.896,41.279,18.049
42,0.0,3626.8,4483.2,9.2646,27.282,42.022,2709.1,74.178,120.39,0.32343,80.483,50.574,2638.8,23.596,50.557,3104.4,24.231,65.618,229.44,341.67,94.473,78.051,32.394,8.8662,26.468,6.9003,18.759,1.662,32.982,13.82,23.864,1.3461,18.345,2.2511,4.784,2.2976,0.020507,0.82816,0.089995,53.92,43.594,62.532,53.813,24.961,60.717,22.756,38.953,39.79,47.823,47.198,40.991,15.022
43,0.0,3622.8,4429.7,9.2412,27.005,42.371,2710.1,75.323,120.42,0.32711,80.62,50.533,2638.6,24.272,50.687,3107.2,23.478,65.773,229.68,341.8,94.527,77.549,32.394,8.8662,26.468,6.9003,18.759,1.662,32.982,13.82,23.864,1.3461,18.345,2.2511,4.784,2.2976,0.020507,0.82816,0.089995,53.92,43.594,62.601,54.454,25.1,61.73,22.512,38.505,39.669,48.123,47.22,41.196,16.802
44,0.0,3634.6,4490.4,9.2908,26.982,42.524,2706.4,76.193,120.4,0.33746,80.263,48.472,2635.0,23.841,50.044,3105.1,22.981,65.836,226.49,341.26,94.61,77.149,32.786,8.8637,26.549,6.8368,18.92,1.6804,33.106,13.778,24.118,1.3078,18.493,2.2411,4.7888,2.2746,0.020507,0.82816,0.089995,53.92,43.594,63.419,54.276,22.655,62.144,22.105,39.853,33.603,46.637,47.545,40.279,18.007
45,0.0,3664.9,4533.3,9.3929,26.724,42.409,2705.7,76.313,120.4,0.33956,80.213,50.776,2634.9,24.296,49.461,3102.5,22.908,65.821,227.03,341.67,94.632,77.393,32.786,8.8637,26.549,6.8368,18.92,1.6804,33.106,13.778,24.118,1.3078,18.493,2.2411,4.7888,2.2746,0.0089613,0.82272,0.11896,53.97,43.681,62.898,53.762,22.66,61.408,22.219,39.597,40.385,45.287,47.224,41.177,18.162
46,0.0,3702.8,4484.2,9.2997,26.982,42.173,2703.2,75.489,120.39,0.32964,80.096,50.647,2631.7,26.328,49.198,3100.5,23.345,65.814,228.66,341.29,94.651,76.773,32.013,8.923,26.1,6.7257,18.416,1.6785,32.515,14.035,23.675,1.2043,18.581,2.2549,4.7936,2.4434,0.0089613,0.82272,0.11896,53.97,43.681,62.816,53.942,18.48,63.175,22.271,39.649,40.003,44.677,46.988,40.891,17.177
47,0.0,3717.2,4463.2,9.3709,26.773,42.116,2699.9,75.412,120.39,0.33395,79.77,49.222,2628.4,23.205,49.222,3095.7,22.715,65.693,228.82,341.04,94.695,76.579,32.013,8.923,26.1,6.7257,18.416,1.6785,32.515,14.035,23.675,1.2043,18.581,2.2549,4.7936,2.4434,0.0089613,0.82272,0.11896,53.97,43.681,62.567,54.194,18.438,60.95,22.137,39.123,35.812,44.733,46.889,41.659,18.719
48,0.0,3723.6,4506.9,9.2031,27.157,42.369,2698.6,74.074,120.38,0.3614,79.79,49.022,2626.6,25.102,49.522,3097.3,23.473,65.586,230.61,340.96,94.655,77.21,32.036,8.8932,26.385,6.7725,18.915,1.6516,33.33,13.805,24.037,1.2455,18.551,2.2582,4.7685,2.2772,0.0089613,0.82272,0.11896,53.97,43.681,63.527,54.926,25.589,60.771,22.056,42.768,35.221,45.429,46.65,40.816,16.901
49,0.0,3717.7,4551.9,9.3612,27.082,42.588,2701.0,75.272,120.43,0.36094,80.067,50.117,2629.6,25.31,49.589,3099.2,22.47,65.583,228.55,340.43,94.532,77.429,32.036,8.8932,26.385,6.7725,18.915,1.6516,33.33,13.805,24.037,1.2455,18.551,2.2582,4.7685,2.2772,0.0089613,0.82272,0.11896,53.97,43.681,63.629,54.387,25.64,60.662,21.846,42.824,38.443,45.583,46.751,41.443,19.263
50,0.0,3716.9,4462.6,9.2902,26.889,42.184,2700.5,74.996,120.4,0.33342,80.108,48.63,2629.2,26.001,49.804,3099.8,23.718,65.59,227.95,340.3,94.591,77.271,32.663,8.8233,26.032,6.9395,18.865,1.652,33.027,13.983,24.027,1.2646,18.517,2.1823,4.8161,2.3304,0.010107,0.84415,0.10997,53.658,43.586,63.358,54.251,25.43,60.291,22.038,40.164,34.068,46.079,46.563,41.175,16.311
51,0.0,3701.2,4485.3,9.2803,27.156,42.584,2703.1,75.458,120.43,0.33605,80.382,49.189,2632.1,26.117,50.896,3101.2,23.008,65.648,224.87,340.3,94.312,77.707,32.663,8.8233,26.032,6.9395,18.865,1.652,33.027,13.983,24.027,1.2646,18.517,2.1823,4.8161,2.3304,0.010107,0.84415,0.10997,53.658,43.586,63.627,53.979,25.661,61.994,22.073,39.843,35.713,48.609,46.68,42.0,17.947
52,0.0,3620.2,4482.6,9.3375,26.773,42.573,2702.9,75.466,120.4,0.35589,80.68,52.193,2631.7,23.73,48.842,3100.1,21.799,65.761,224.85,340.36,94.657,77.698,32.493,8.8311,26.159,7.0376,18.649,1.651,32.35,13.772,24.014,1.2175,18.673,2.2781,4.8567,2.3434,0.010107,0.84415,0.10997,53.658,43.586,63.581,54.114,19.762,59.926,22.189,42.288,44.554,43.854,46.519,40.99,20.773
53,0.0,3662.8,4492.7,9.2005,27.123,42.373,2697.6,75.589,120.4,0.3588,80.451,50.342,2626.0,23.891,47.509,3097.7,22.671,65.807,225.49,339.65,94.608,77.359,32.493,8.8311,26.159,7.0376,18.649,1.651,32.35,13.772,24.014,1.2175,18.673,2.2781,4.8567,2.3434,0.010107,0.84415,0.10997,53.658,43.586,62.848,53.994,19.684,62.506,21.621,41.934,39.108,40.769,46.296,41.335,18.721
54,0.0,3644.5,4493.0,9.2097,27.017,41.848,2695.2,75.331,120.38,0.3329,80.188,50.244,2623.2,25.324,48.948,3095.1,22.793,65.769,225.59,339.5,94.825,77.264,32.245,8.8519,26.28,6.8914,19.162,1.6959,32.511,13.773,24.099,1.2558,18.689,2.2304,4.9027,2.2912,0.010107,0.84415,0.10997,53.658,43.586,62.201,54.524,20.33,62.145,21.796,39.539,38.818,44.099,46.13,40.55,18.454
55,0.0,3639.2,4501.6,9.4803,27.008,42.417,2694.3,75.239,120.38,0.33191,79.969,51.7,2622.1,26.125,49.362,3092.9,23.301,65.691,225.98,339.55,94.865,76.887,32.245,8.8519,26.28,6.8914,19.162,1.6959,32.511,13.773,24.099,1.2558,18.689,2.2304,4.9027,2.2912,0.0077661,0.86613,0.085425,54.409,43.058,62.293,54.422,20.83,60.281,21.558,39.659,43.101,45.057,46.485,39.658,17.3
56,0.0,3626.0,4452.1,9.4414,27.077,42.337,2696.1,74.756,120.38,0.33015,80.024,49.542,2625.0,25.105,49.117,3095.4,22.522,65.578,226.06,339.76,94.862,77.344,32.499,8.7254,26.903,6.9819,18.503,1.6882,32.922,13.791,23.742,1.3318,18.634,2.2523,4.948,2.2902,0.0077661,0.86613,0.085425,54.409,43.058,63.725,53.733,23.19,59.398,21.674,39.81,36.751,44.49,46.566,40.761,19.14
57,0.0,3692.2,4460.8,9.2776,26.515,41.967,2698.8,74.849,120.42,0.33299,80.109,49.865,2625.8,26.569,50.249,3096.7,23.478,65.58,225.7,338.99,94.652,77.113,32.499,8.7254,26.903,6.9819,18.503,1.6882,32.922,13.791,23.742,1.3318,18.634,2.2523,4.948,2.2902,0.0077661,0.86613,0.085425,54.409,43.058,62.585,53.628,22.913,61.993,21.383,39.464,37.703,47.109,46.686,41.006,16.89
